ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;INSTRUMENT_ID;ISIN_CODE;TELEKURS_CODE;BLOOMBERG_CODE;ISSUER_CODE;ISSUER_NAME;GRINFIN;ASSET_GROUP;ASSET_PICTET_TYPE;SFI_TYPE;STRIKE;CONTRACT_SIZE;SECURITY_NAME;SECURITY_CCY;COUNTRY_CODE;COUNTRY_NAME;ECONOMIC_SECTOR_CODE;ECONOMIC_SECTOR_NAME;MATURITY_DATE;MKT_CODE;MIC_CODE;RATING_SP;RATING_MOODYS;RATING_FITCH;CUSTODIAN_CODE;CUSTODIAN_NAME;UNDERLYING_INSTR_ID;UNDERLYING_ISIN_CODE;UNDERLYING_TELEKURS_CODE;UNDERLYING_BLOOMBERG_CODE;UNDERLYING_MKT_CODE;UNDERLYING_MIC_CODE;UNDERLYING_GRINFIN;UNDERLYING_ASSET_GROUP;UNDERLYING_ASSET_PICTET_TYPE;UNDERLYING_SFI_TYPE;UNDERLYING_NAME;UNDERLYING_CCY;UNDERLYING_DATE_MATURITY;UNDERLYING_ISSUER;UNDERLYING_ISSUER_NAME;UNDERLYING_COUNTRY_CODE;UNDERLYING_COUNTRY_NAME;UNDERLYING_ECO_SECTOR_CODE;UNDERLYING_ECO_SECTOR_NAME;UNDERLYING_RATING_SP;UNDERLYING_RATING_MOODYS;UNDERLYING_RATING_FITCH;UNDERLYING_PRICE;QUANTITY;MARKET_PRICE;CALCUL_TYPE;MARKET_VALUE;MARKET_VALUE_FUND_CCY;FX_RATE_INV_FUND;FX_RATE_INV_EUR;DATE_VALORISATION;FLAG_FEEDER;ACCRUED_INTEREST;ACCRUED_INTEREST_FUND_CCY;ACCRUED_INTEREST_EUR;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB951692USDLU;US5949181045;000951692000;MSFT UQ Equity;13970;MICROSOFT CORP;eer;share;ord_sh;sfi_atyp_202;;;MICROSOFT;USD;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;16000;235.77;1;3772320;3772320;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBB61460USDLU;US46625H1005;001161460000;JPM UN Equity;8110;JPMORGAN CHASE & CO;eer;share;ord_sh;sfi_atyp_202;;1;JPMORGAN CHASE;USD;US;U.S.A.;81;BANK & OTHER CREDIT INSTITUTIONS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;13000;152.23;1;1978990;1978990;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBM82206USDLU;US57636Q1040;002282206000;MA UN Equity;984614;MASTERCARD INC;eer;share;ord_sh;sfi_atyp_202;;1;MASTERCARD 'A';USD;US;U.S.A.;81;BANK & OTHER CREDIT INSTITUTIONS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;7100;356.05;1;2527955;2527955;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBQ75132CHFLU;CH0025751329;002575132000;LOGN SW Equity;6233;LOGITECH INTL;eer;share;ord_sh;sfi_atyp_202;;;LOGITECH INTERNATIONAL;CHF;CH;SWITZERLAND;45;COMPUTER HARDWARE & NETWORKING;;SWX;XSWX;;;;OJT;;;;;;;;;;;;;;;;;;;;;;;;;22000;99.14;1;2181080;2317462.68;1.06253;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBB06818EURLU;NL0000009538;001106818000;PHIA NA Equity;1561;ROYAL PHILIPS ELECTRONICS NV;eeb;share;ord_sh;sfi_atyp_201;;1;ROYAL PHILIPS;EUR;NL;NETHERLANDS;42;ELECTRONICS & SEMICONDUCTORS;;FWTAT;;;;;OM2;;;;;;;;;;;;;;;;;;;;;;;;;38000;48.675;1;1849650;2173893.65;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBS84860USDLU;NL0000687663;002784860000;AER UN Equity;986518;AERCAP HOLDINGS NV;eeb;share;ord_sh;sfi_atyp_201;;1;AERCAP HOLDINGS;USD;NL;NETHERLANDS;43;AEROSPACE TECHNOLOGY;;FWTAT;;;;;OXQ;;;;;;;;;;;;;;;;;;;;;;;;;27000;58.74;1;1585980;1585980;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB908542USDLU;US0382221051;000908542000;AMAT UQ Equity;13652;APPLIED MATERIALS;eer;share;ord_sh;sfi_atyp_202;;1;APPLIED MATERIALS;USD;US;U.S.A.;42;ELECTRONICS & SEMICONDUCTORS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;10500;133.6;1;1402800;1402800;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB919254USDLU;US1890541097;000919254000;CLX UN Equity;13770;CLOROX;eer;share;ord_sh;sfi_atyp_202;;;CLOROX;USD;US;U.S.A.;71;MISC. CONSUMER GOODS;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;16500;192.88;1;3182520;3182520;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB957150USDLU;US6541061031;000957150000;NKE UN Equity;13989;NIKE;eer;share;ord_sh;sfi_atyp_202;;1;NIKE 'B';USD;US;U.S.A.;68;TEXTILE & CLOTHING;;FRA;XFRA;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;12000;132.89;1;1594680;1594680;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB945916USDLU;US5010441013;000945916000;KR UN Equity;13927;KROGER;eer;share;ord_sh;sfi_atyp_202;;1;KROGER;USD;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;90000;35.99;1;3239100;3239100;1;.850846;31/03/2021;N;0;0;0;31/03/2021
