ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;ISIN;SECURITY_NAME;TYPE_INSTR;INSTRUMENT_CCY;INSTRUMENT_PRICE;INSTRUMENT_PRICE_EUR;PRICE_DATE;FX_RATE;TRANSACTION_TYPE;EXECUTION_DATE;TRANSACTION_CCY;QUANTITY;AMOUNT_TRANSACTION_CCY;AMOUNT_FUND_CCY;AMOUNT_TRANSACTION_EUR;FX_RATE_EUR;FX_RATE_DATE;MATURITY_DATE;MIC_CODE;TRANSACTION_PRICE;UNREALIZED_PNL;CANCEL_ANULATION;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Purchase forward contract ~ Bought EUR 554,470.62 Sold USD 671,000.00;;EUR;1.210163;1.210163;09/02/2021;0;Purchase forward contract ~;09/02/2021;USD;0;554470.62;554470.62;471769.109145;.850846;31/03/2021;;;1.210163;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;05/02/2021;0;Purchase spot contract ~;05/02/2021;;0;983605.85;983605.85;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;03/02/2021;0;Purchase spot contract ~;03/02/2021;;0;1260000.02;1260000.02;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;02/02/2021;0;Purchase spot contract ~;02/02/2021;;0;164061.5;164061.5;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;02/02/2021;0;Purchase spot contract ~;02/02/2021;;0;348536.21;348536.21;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought CHF 304,283.31 Sold USD 344,000.00;;CHF;.884545;.799673;07/01/2021;0;Purchase forward contract ~;07/01/2021;USD;0;304283.31;304283.31;258898.23718;.850846;31/03/2021;;;.884545;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought EUR 372,439.45 Sold USD 453,000.00;;EUR;1.216305;1.216305;26/01/2021;0;Purchase forward contract ~;26/01/2021;USD;0;372439.45;372439.45;316888.616275;.850846;31/03/2021;;;1.216305;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought EUR 397,505.48 Sold USD 481,000.00;;EUR;1.210046;1.210046;15/01/2021;0;Purchase forward contract ~;15/01/2021;USD;0;397505.48;397505.48;338215.947636;.850846;31/03/2021;;;1.210046;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought EUR 401,167.53 Sold USD 488,000.00;;EUR;1.216449;1.216449;12/01/2021;0;Purchase forward contract ~;12/01/2021;USD;0;401167.53;401167.53;341331.78823;.850846;31/03/2021;;;1.216449;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Purchase forward contract ~ Bought EUR 411,737.82 Sold USD 500,000.00;;EUR;1.214365;1.214365;25/01/2021;0;Purchase forward contract ~;25/01/2021;USD;0;411737.82;411737.82;350325.477196;.850846;31/03/2021;;;1.214365;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;19/01/2021;0;Purchase spot contract ~;19/01/2021;;0;11927.32;11927.32;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;19/01/2021;0;Purchase spot contract ~;19/01/2021;;0;115000;115000;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;15/01/2021;0;Purchase spot contract ~;15/01/2021;;0;481000;481000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought GBP 280,000.00 Sold USD 382,837.53;;GBP;1.367277;1.605064;15/01/2021;0;Purchase forward contract ~;15/01/2021;USD;0;280000;280000;238236.88;.850846;31/03/2021;;;1.367277;;40;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;14/01/2021;0;Purchase spot contract ~;14/01/2021;;0;11409.89;11409.89;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;12/01/2021;0;Purchase spot contract ~;12/01/2021;;0;490472.17;490472.17;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;07/01/2021;0;Purchase spot contract ~;07/01/2021;;0;344000;344000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;06/01/2021;0;Purchase spot contract ~;06/01/2021;;0;17769.09;17769.09;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;05/01/2021;0;Purchase spot contract ~;05/01/2021;;0;170000;170000;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US1729674242;CITIGROUP;share;USD;60.606874;51.567116;22/01/2021;1;Sale on stock market ~;22/01/2021;USD;14000.00014;848496.25;848496.25;721939.640328;.850846;31/03/2021;;;60.606874;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IT0003128367;ENEL;share;EUR;8.251793;8.251793;19/03/2021;.839666;Purchase on stock market ~;19/03/2021;EUR;50000;412589.65;491373.64;412589.65;1;31/03/2021;;;8.251793;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US2310211063;CUMMINS;share;USD;246.9812;210.142966;19/02/2021;1;Purchase on stock market ~;19/02/2021;USD;1200;296377.44;296377.44;252171.559314;.850846;31/03/2021;;;246.9812;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;DE000A1EWWW0;ADIDAS NOM.;share;EUR;294.2542;294.2542;19/02/2021;.824606;Sale on stock market ~;19/02/2021;EUR;1500;441381.3;535263.1;441381.3;1;31/03/2021;;;294.2542;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US5184391044;ESTEE LAUDER COMPANIES 'A';share;USD;282.249567;240.150915;08/03/2021;1;Sale on stock market ~;08/03/2021;USD;1500;423374.35;423374.35;360226.3722;.850846;31/03/2021;;;282.249567;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;GB00BVYVFW23;AUTO TRADER GROUP;share;GBP;5.816794;6.82841;25/02/2021;.707589;Purchase on stock market ~;25/02/2021;GBP;25000;145419.85;205514.6;170710.252373;1.173913;31/03/2021;;;5.816794;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;GB00BVYVFW23;AUTO TRADER GROUP;share;GBP;6.007158;7.051881;05/01/2021;.735565;Purchase on stock market ~;05/01/2021;GBP;55000.00055;330393.69;449170.22;387853.447809;1.173913;31/03/2021;;;6.007158;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US29786A1060;ETSY;share;USD;218.6895;186.071086;19/01/2021;1;Purchase on stock market ~;19/01/2021;USD;1999.99998;437379;437379;372142.172634;.850846;31/03/2021;;;218.6895;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE0004927939;KINGSPAN GROUP;share;EUR;61.15;61.15;24/02/2021;.824913;Purchase on stock market ~;24/02/2021;EUR;2000;122300;148258.05;122300;1;31/03/2021;;;61.15;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;GB00B1CRLC47;MONDI (GBP);share;GBP;17.714425;20.795194;01/03/2021;.717463;Purchase on stock market ~;01/03/2021;GBP;24000;425146.2;592568.77;499084.651081;1.173913;31/03/2021;;;17.714425;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;FR0000121972;SCHNEIDER ELECTRIC;share;EUR;127.454836;127.454836;16/03/2021;.840725;Sale on stock market ~;16/03/2021;EUR;5000;637274.18;758005.78;637274.18;1;31/03/2021;;;127.454836;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US22160K1051;COSTCO WHOLESALE;share;USD;328.460583;279.469373;16/03/2021;1;Sale on stock market ~;16/03/2021;USD;3500;1149612.03;1149612.03;978142.797277;.850846;31/03/2021;;;328.460583;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US46625H1005;JPMORGAN CHASE;share;USD;152.393857;129.663704;09/03/2021;1;Sale on stock market ~;09/03/2021;USD;3500;533378.5;533378.5;453822.963211;.850846;31/03/2021;;;152.393857;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US46625H1005;JPMORGAN CHASE;share;USD;128.704426;109.507646;27/01/2021;1;Sale on stock market ~;27/01/2021;USD;8000;1029635.41;1029635.41;876061.170057;.850846;31/03/2021;;;128.704426;;20;N;31/03/2021
