PUID;ISIN_CODE;BLOOMBERG_TICKER;TELEKURS_CODE;INSTRUMENT_NAME;CLASSIF_1_GRINFIN;CLASSIF_2_ASSETGROUP;CLASSIF_3_ASSET_PICTET_TYPE;CLASSIF_3_SFI_TYPE;ISSUER_CODE;ISSUER_NAME;INSTRUMENT_CCY;INTERNAL_MARKET_CODE;MIC_MARKET_CODE;MARKET_PLACE_NAME;COUNTRY_CODE;COUNTRY_NAME;ECONOMICAL_SECTOR_CODE;ECONOMICAL_SECTOR_NAME;GEOGRAPHICAL_SECTOR_CODE;GEOGRAPHICAL_SECTOR_NAME;MATURITY_DATE;TYPE_STRIKE;STRIKE_VALUE;CONTRACT_SIZE;CONVERSION_RATIO;RATING_SP;RATING_MOODYS;RATING_FITCH;IS_CDS_PROTECTION_BUYER;IS_CDS_PROTECTION_SELLER;YIELD_RATE;MATURITY_RATE;COUPON_RATE;COUPON_FREQUENCY;COUPON_AMOUNT;DURATION;MODIFIED_DURATION;NEXT_COUPON_DATE;SETTLEMENT_TYPE;IMPLIED_VOLATILITY;DELTA;GAMMA;VEGA;OPTION_TYPE;OPTION_STYLE;CALL_VALUE;PUT_VALUE;CALL_DATE;PUT_DATE;CREDIT_SPREAD;EQUITY_DELTA;CS01;DV01;SETTLEMENT_DELAY;SETTLEMENT_DATE;NAV_FREQUENCY;SEDOL_CODE;CUSIP;COTATION_PLACE_CODE;UNDERLYING_ISIN_CODE;UNDERLYING_INSTRUMENT_NAME;Reporting Period
05AIM003DCUUSDLU;US3687361044;GNRC UN Equity;010683479000;GENERAC HOLDINGS;eer;share;ord_sh;sfi_atyp_202;174580;GENERAC HOLDINGS INC;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;84;HOLDING & FINANCIAL TRUST;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B6197Q2;;065;;;31/03/2021
05PIB903838USDLU;US0091581068;APD UN Equity;000903838000;AIR PRODUCTS & CHEMICALS;eer;share;ord_sh;sfi_atyp_202;13583;AIR PRODUCTS & CHEMICALS;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;35;CHEMICALS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5788226;;065;;;31/03/2021
05PIB975377USDLU;US8716071076;SNPS UQ Equity;000975377000;SYNOPSYS;eer;share;ord_sh;sfi_atyp_202;11761;SYNOPSYS;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2867719;;067;;;31/03/2021
05PIB762921JPYLU;JP3756600007;7974 JT Equity;000762921000;NINTENDO;eer;share;ord_sh;sfi_atyp_202;12356;NINTENDO;JPY;FRA;XFRA;Frankfurter Wertpapierborse;JP;JAPAN;42;ELECTRONICS & SEMICONDUCTORS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5334209;;106;;;31/03/2021
05AIM0070Q7AUDLU;NZATME0002S8;A2M AU Equity;001841567000;THE A2 MILK;eer;share;ord_sh;sfi_atyp_202;188354;THE A2 MILK;AUD;ASX;XASX;ASX Ltd;NZ;NEW ZEALAND;71;MISC. CONSUMER GOODS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6287250;;116;;;31/03/2021
05AIM00AXY1USDLU;ZZ00AAE4HW 0;;ZZZAAE4HW000;DECALIA SICAV-CIRCULAR ECONOMY PG;efd;fund;share_fd;sfi_atyp_782;191605;DEC CIR EC;USD;FTE-FO;;;LU;LUXEMBOURG;900;UCITS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;477;;;31/03/2021
05AIM00AXY2USDLU;ZZ00AAE4HY 0;;ZZZAAE4HY000;DECALIA SICAV-CIRCULAR ECONOMY PGE;efd;fund;share_fd;sfi_atyp_782;191605;DEC CIR EC;USD;FTE-FO;;;LU;LUXEMBOURG;900;UCITS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;477;;;31/03/2021
05AIM00AXYEUSDLU;ZZ00AAE4IG 0;;ZZZAAE4IG000;DECALIA SICAV-CIRCULAR ECONOMY PGC;efd;fund;share_fd;sfi_atyp_782;191605;DEC CIR EC;USD;FTE-FO;;;LU;LUXEMBOURG;900;UCITS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;477;;;31/03/2021
05PIB190310USDLU;US2172041061;CPRT UQ Equity;000190310000;COPART;eer;share;ord_sh;sfi_atyp_202;5804;COPART;USD;FWTAT;;;US;U.S.A.;50;VEHICLES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2208073;;067;;;31/03/2021
05PIB910957USDLU;US0584981064;BLL UN Equity;000910957000;BALL;eer;share;ord_sh;sfi_atyp_202;13682;BALL;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;75;PACKAGING INDUSTRIES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2073022;;065;;;31/03/2021
05PIBF66822USDLU;US2283681060;CCK UN Equity;001566822000;CROWN HOLDINGS;eer;share;ord_sh;sfi_atyp_202;976000;CROWN HOLDINGS INC;USD;FWTAT;;;US;U.S.A.;84;HOLDING & FINANCIAL TRUST;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2427986;;065;;;31/03/2021
05PIBG93853USDLU;US5018892084;LKQ UQ Equity;001693853000;LKQ;eer;share;ord_sh;sfi_atyp_202;980357;LKQ CORP;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;50;VEHICLES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2971029;;067;;;31/03/2021
05AIM00ADL8USDLU;US00183L1026;ANGI UQ Equity;038079223000;ANGI 'A';eer;share;ord_sh;sfi_atyp_202;199050;ANGI INC;USD;RMC-P;;;US;U.S.A.;96;MISCELLANEOUS SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BF4VWH4;;067;;;31/03/2021
05AIM00AG58USDLU;US30057T1051;AQUA UN Equity;038577266000;EVOQUA WATER TECHNOLOGIES;eer;share;ord_sh;sfi_atyp_202;194862;EVOQUA WATER TECHNOLOGIES;USD;NCI;;;US;U.S.A.;92;ENERGY & WATER SUPPLY;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BF329G6;;065;;;31/03/2021
05AIM00AYFAJPYLU;JP3921290007;4385 JT Equity;041812174000;MERCARI;eer;share;ord_sh;sfi_atyp_202;191986;MERCARI;JPY;TYO;XTKS;Tokyo Stock Exchange;JP;JAPAN;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BG0GM14;;106;;;31/03/2021
05NEX0022EYUSDLU;US9288811014;VNT UN Equity;052640233000;VONTIER;eer;share;ord_sh;sfi_atyp_202;200317;VONTIER CORP;USD;USX-P;;;US;U.S.A.;48;MACHINERY & APPARELS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BH4GV32;;065;;;31/03/2021
05PIB762440JPYLU;JP3866800000;6752 JT Equity;000762440000;PANASONIC;eer;share;ord_sh;sfi_atyp_202;12186;PANASONIC;JPY;EPA;XPAR;Paris NYSE Euronext;JP;JAPAN;42;ELECTRONICS & SEMICONDUCTORS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6572707;;106;;;31/03/2021
05PIB945590USDLU;US4824801009;KLAC UQ Equity;000945590000;KLA CORPORATION;eer;share;ord_sh;sfi_atyp_202;10412;KLA CORPORATION;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;42;ELECTRONICS & SEMICONDUCTORS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2480138;;067;;;31/03/2021
05PIB987800USDLU;US9892071054;ZBRA UQ Equity;000987800000;ZEBRA TECHNOLOGIES 'A';eer;share;ord_sh;sfi_atyp_202;980563;ZEBRA TECHNOLOGIES;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;42;ELECTRONICS & SEMICONDUCTORS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2989356;;067;;;31/03/2021
